estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2018-01-15,2018-04-14,2018-04-15,2018-04-21,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.048,1.0,,0.0,0,57.71,1,,0,0
2018-02-14,2018-05-14,2018-05-15,2018-05-21,MEDIANO,Comercializador mixto,3,3,"Comercializador mixto,Trader no regulado",0.005,1.103,1.0,,100.0,0,82.27,0,,1,1
2018-02-14,2018-05-14,2018-05-15,2018-05-21,PEQUEÑO,Comercializador mixto,4,4,"Comercializador mixto,Trader no regulado",0.005,1.04,1.0,,42.9,0,33.43,0,,0,0
2018-02-14,2018-05-14,2018-05-15,2018-05-21,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.029,1.0,,42.9,0,58.52,1,,0,0
2018-03-16,2018-06-13,2018-06-14,2018-06-20,MEDIANO,Comercializador mixto,3,3,"Comercializador mixto,Trader no regulado",0.005,1.102,0.971,,100.0,0,105.12,0,,1,1
2018-03-16,2018-06-13,2018-06-14,2018-06-20,PEQUEÑO,Comercializador mixto,4,4,"Comercializador mixto,Trader no regulado",0.005,1.147,0.95,,100.0,0,61.42,0,,1,1
2018-03-16,2018-06-13,2018-06-14,2018-06-20,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.029,1.0,,100.0,0,59.94,1,,0,0
2018-04-15,2018-07-13,2018-07-14,2018-07-20,PEQUEÑO,Trader no regulado,3,3,Trader no regulado,0.005,0.983,0.937,,0.0,0,-0.87,0,,0,0
2018-04-15,2018-07-13,2018-07-14,2018-07-20,MEDIANO,Trader no regulado,2,2,Trader no regulado,1.0,0.995,0.993,,100.0,0,81.68,0,,0,0
2018-04-15,2018-07-13,2018-07-14,2018-07-20,GRANDE,Comercializador regulado,1,1,Comercializador regulado,1.0,1.007,1.0,,85.7,0,62.11,1,,0,0
